2023-07-27 10:28:44.707 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.filter.FormContentFilter.doFilterInternal(FormContentFilter.java:93)
2023-07-27 10:28:44.707 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:119)
2023-07-27 10:28:44.707 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
2023-07-27 10:28:44.707 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
2023-07-27 10:28:44.707 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:201)
2023-07-27 10:28:44.707 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:119)
2023-07-27 10:28:44.707 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
2023-07-27 10:28:44.707 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
2023-07-27 10:28:44.707 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:202)
2023-07-27 10:28:44.708 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:97)
2023-07-27 10:28:44.708 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:542)
2023-07-27 10:28:44.708 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:143)
2023-07-27 10:28:44.708 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:92)
2023-07-27 10:28:44.708 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:78)
2023-07-27 10:28:44.708 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:343)
2023-07-27 10:28:44.708 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:374)
2023-07-27 10:28:44.708 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:65)
2023-07-27 10:28:44.709 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:888)
2023-07-27 10:28:44.709 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1597)
2023-07-27 10:28:44.709 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:49)
2023-07-27 10:28:44.709 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149)
2023-07-27 10:28:44.709 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
2023-07-27 10:28:44.709 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)
2023-07-27 10:28:44.710 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - java.lang.Thread.run(Thread.java:750)
2023-07-27 10:33:03.009 [http-nio-8080-exec-6] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,27] - 服务器发生异常：null
2023-07-27 10:33:03.010 [http-nio-8080-exec-6] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - com.benewake.saleordersystem.service.impl.InquiryServiceImpl.selectSalesOrderVoList(InquiryServiceImpl.java:90)
2023-07-27 10:33:03.010 [http-nio-8080-exec-6] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - com.benewake.saleordersystem.service.impl.InquiryServiceImpl$$FastClassBySpringCGLIB$$3ad626c8.invoke(<generated>)
2023-07-27 10:33:03.010 [http-nio-8080-exec-6] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.cglib.proxy.MethodProxy.invoke(MethodProxy.java:218)
2023-07-27 10:33:03.010 [http-nio-8080-exec-6] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.invokeJoinpoint(CglibAopProxy.java:771)
2023-07-27 10:33:03.011 [http-nio-8080-exec-6] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:163)
2023-07-27 10:33:03.011 [http-nio-8080-exec-6] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.proceed(CglibAopProxy.java:749)
2023-07-27 10:33:03.011 [http-nio-8080-exec-6] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.aop.interceptor.ExposeInvocationInterceptor.invoke(ExposeInvocationInterceptor.java:95)
